"","name","type","geometry"
"327","Theatre: Schlossplatztheater","theatre",c(13.5744674, 52.4452074)
"328","Theatre: Globe Theater Berlin","theatre",c(13.3052748, 52.5221046)
"329","Theatre: Theater X","theatre",c(13.3295679, 52.5312654)
"330","Theatre: Stage Bluemax Theater","theatre",c(13.3733397, 52.506926)
"331","Theatre: Kulturbremse","theatre",c(13.3337683, 52.5231686)
"332","Theatre: Kammermusiksaal Friedenau","theatre",c(13.3319721, 52.4766714)
"333","Theatre: ACUD Theater","theatre",c(13.4009767, 52.5334318)
"334","Theatre: Waldbühne","theatre",c(13.2293305715493, 52.5154968399921)
"335","Theatre: Staatsoper Unter den Linden","theatre",c(13.3947450995098, 52.5166573100293)
"336","Theatre: Ernst-Reuter-Saal","theatre",c(13.3239608715018, 52.5883739681776)
"337","Theatre: Theater unterm Dach","theatre",c(13.4309509610875, 52.5375089925197)
"338","Theatre: Theaterhaus Berlin-Mitte","theatre",c(13.4111753517674, 52.511051964146)
"339","Theatre: Tanzprobebühne Marameo e.V.","theatre",c(13.4096569499194, 52.5117588500916)
"340","Theatre: Cabuwazi","theatre",c(13.5475717988433, 52.5519476175978)
"341","Theatre: Atze Musiktheater","theatre",c(13.3515399566163, 52.5432380108021)
"342","Theatre: GRIPS Theater","theatre",c(13.341417816297, 52.5186584147142)
